enfermedad,confianza,recomendación
caries, 1%,"Debes cepillarte correctamente los dientes para evitar el avance de la caries encontrada."
caries, 5%,"Usa hilo dental y enjuague bucal diariamente para reducir la acumulación de placa."
caries, 10%,"Evita el consumo excesivo de azúcares y acude a una revisión odontológica anual."
caries, 20%,"Es recomendable una limpieza profesional para eliminar la placa y prevenir daños mayores."
caries, 30%,"Un empaste dental podría ser necesario si la caries ha comenzado a afectar el esmalte."
caries, 40%,"Visita a tu odontólogo para evaluar si se requiere una obturación en la pieza afectada."
caries, 50%,"Se recomienda una restauración dental para evitar que la caries progrese a capas más profundas."
caries, 80%,"Es urgente tratar la caries con una endodoncia para salvar la pieza dental afectada."
gingivitis, 1%,"Mejora tu higiene oral cepillándote correctamente y usando hilo dental."
gingivitis, 5%,"Enjuágate con agua salina para reducir la inflamación y eliminar bacterias."
gingivitis, 10%,"Evita el tabaco y productos irritantes para reducir la inflamación de las encías."
gingivitis, 20%,"Usa un enjuague bucal con clorhexidina para controlar la inflamación."
gingivitis, 30%,"Agenda una limpieza profesional para eliminar el sarro acumulado."
gingivitis, 40%,"Es importante un raspado y alisado radicular si la inflamación es persistente."
gingivitis, 100%,"Urge intervención odontológica para evitar la pérdida de dientes por periodontitis."
cancer, 1%,"Mantén un estilo de vida saludable y evita el consumo de tabaco y alcohol."
cancer, 5%,"Usa protector solar en los labios y revisa regularmente tu boca en busca de anomalías."
cancer, 10%,"Consulta a un odontólogo si notas úlceras o manchas blancas que no sanan."
cancer, 20%,"Un profesional debe evaluar cualquier lesión persistente en la boca."
cancer, 30%,"Se recomienda una biopsia si la lesión persiste por más de dos semanas."
cancer, 40%,"Se requiere análisis detallado para determinar si hay células cancerígenas."
cancer, 50%,"Podrías necesitar un estudio de imagen para evaluar la extensión de la lesión."
cancer, 60%,"Se recomienda consulta con un oncólogo para determinar el tratamiento adecuado."
cancer, 70%,"Es posible que requieras cirugía para eliminar la lesión sospechosa."
cancer, 80%,"El tratamiento podría incluir radioterapia o quimioterapia según el diagnóstico."
cancer, 90%,"Consulta urgente con un oncólogo para tratar el cáncer bucal de manera efectiva."
cancer, 100%,"Se requiere atención médica inmediata para evitar la propagación del cáncer."
perdidos, 1%,"Mantén una buena higiene oral para evitar la pérdida de más dientes."
perdidos, 5%,"Considera el uso de prótesis removibles si la pérdida es mínima."
perdidos, 10%,"Consulta sobre opciones de restauración dental para mejorar tu mordida."
perdidos, 20%,"Un puente dental podría ser una buena opción si tienes piezas adyacentes sanas."
perdidos, 30%,"Un odontólogo puede evaluar si eres candidato para implantes dentales."
perdidos, 50%,"Considera implantes dentales para mejorar la función y estética de tu sonrisa."
perdidos, 60%,"Es recomendable un tratamiento completo de rehabilitación oral."
perdidos, 80%,"Se recomienda un plan de implantes dentales y rehabilitación ósea si es necesario."
perdidos, 90%,"La rehabilitación oral completa puede incluir injertos óseos y prótesis fijas."
perdidos, 100%,"Un especialista en implantología debe evaluar tu caso para un tratamiento integral."
ulceras, 1%,"Evita alimentos muy ácidos o picantes para reducir la irritación de las úlceras."
ulceras, 5%,"Mantén una buena hidratación y una dieta balanceada para mejorar la cicatrización."
ulceras, 10%,"Usa un enjuague bucal suave para evitar infecciones en las úlceras."
ulceras, 20%,"Aplica gel de aloe vera para aliviar la molestia y acelerar la curación."
ulceras, 40%,"Se recomienda un tratamiento tópico con corticosteroides si hay dolor intenso."
ulceras, 50%,"Es necesario realizar estudios para descartar causas sistémicas."
ulceras, 60%,"Consulta con un especialista en medicina oral si las úlceras son recurrentes."
ulceras, 70%,"Puede ser necesario un tratamiento con medicamentos antivirales o antifúngicos."
ulceras, 80%,"Se recomienda una biopsia si las úlceras no cicatrizan en varias semanas."
caries, 1%,"Cepíllate los dientes después de cada comida para evitar acumulación de placa."
caries, 5%,"Usa un cepillo de cerdas suaves y técnica adecuada para limpiar correctamente."
caries, 10%,"Reduce el consumo de bebidas azucaradas para prevenir la formación de caries."
caries, 20%,"Un odontólogo puede recomendar un barniz de flúor para fortalecer el esmalte."
caries, 30%,"Se recomienda el uso de sellantes dentales para prevenir el desarrollo de caries."
caries, 40%,"Un empaste dental podría ser necesario si la caries está en su etapa inicial."
caries, 60%,"La caries ha avanzado y puede requerir una corona dental para salvar la pieza."
caries, 70%,"Se debe realizar una evaluación para determinar si se requiere endodoncia."
caries, 90%,"Se recomienda extracción del diente si está severamente afectado."
gingivitis, 1%,"Usa un cepillo de dientes con cerdas suaves para evitar irritación en las encías."
gingivitis, 5%,"Incluye alimentos ricos en vitamina C en tu dieta para fortalecer las encías."
gingivitis, 20%,"Usa enjuagues bucales con ingredientes naturales como el aloe vera."
gingivitis, 40%,"El raspado y alisado radicular puede ser necesario para eliminar el sarro acumulado."
gingivitis, 50%,"Consulta con un especialista si presentas dolor persistente en las encías."
gingivitis, 70%,"Se requiere tratamiento periodontal para evitar la pérdida de tejido óseo."
gingivitis, 90%,"Es posible que se necesiten injertos de tejido para restaurar las encías dañadas."
gingivitis, 100%,"La pérdida dental es inminente sin tratamiento especializado urgente."
cancer, 1%,"Evita la exposición prolongada al sol y usa protector labial con filtro UV."
cancer, 5%,"Mantén una dieta rica en frutas y verduras para fortalecer el sistema inmunológico."
